sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,2.1.0
AppVersion:,2021.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Inertial data Mode - High Fidelity
StartTime: ,2022-03-25_11:15:53_745 EDT
© Xsens Technologies B. V. 2005-2021

PacketCounter,SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Status
243,3832493681,0.999996,0.002400,0.000254,-0.001282,0.129163,-0.007553,0.098788,0
244,3832510348,0.999977,-0.000328,0.005886,-0.003473,0.139039,-0.001920,0.088299,0
245,3832527015,0.999919,-0.002792,0.011839,-0.003787,0.143254,0.003104,0.084746,0
246,3832543682,0.999884,-0.003643,0.014632,-0.002304,0.136373,0.005952,0.085629,0
247,3832560349,0.999875,-0.002103,0.015610,-0.001483,0.129319,0.001391,0.091286,0
248,3832577016,0.999754,-0.001584,0.021900,-0.003093,0.135753,0.001902,0.096613,0
249,3832593683,0.999463,-0.003982,0.032075,-0.005325,0.140711,0.006183,0.110257,0
250,3832610350,0.999270,-0.007189,0.037029,-0.006115,0.136295,0.014116,0.114358,0
251,3832627017,0.999145,-0.009469,0.040138,-0.002953,0.111720,0.014932,0.117221,0
252,3832643684,0.999214,-0.009568,0.038476,0.000584,0.073418,-0.001844,0.118880,0
253,3832660351,0.999090,-0.006449,0.042134,-0.001300,0.062192,-0.008644,0.118392,0
254,3832677018,0.998839,-0.003155,0.048007,-0.002551,0.060096,-0.002500,0.141832,0
255,3832693685,0.998997,-0.001306,0.044743,-0.001275,0.038672,0.010414,0.176684,0
256,3832710352,0.999674,-0.001388,0.025366,0.002678,0.005348,0.001853,0.201067,0
257,3832727019,0.999982,-0.001463,-0.002897,0.005046,-0.014011,-0.010510,0.187032,0
258,3832743686,0.999902,0.002657,-0.013186,0.003897,-0.000200,-0.018617,0.151524,0
259,3832760353,0.999954,0.007301,-0.006198,0.000270,0.017570,-0.020577,0.141840,0
260,3832777020,0.999955,0.007287,0.005584,-0.002420,0.033593,-0.009175,0.152464,0
261,3832793687,0.999884,0.003316,0.014435,-0.003564,0.035638,0.004547,0.167614,0
262,3832810354,0.999843,-0.002243,0.017526,-0.001313,0.028324,0.010728,0.172518,0
263,3832827021,0.999865,-0.007406,0.014567,0.001771,0.023559,0.004071,0.169389,0
264,3832843688,0.999927,-0.008258,0.008301,0.002945,0.013532,-0.003211,0.157150,0
265,3832860355,0.999962,-0.004319,0.007428,0.001367,0.007427,-0.012982,0.144795,0
266,3832877022,0.999928,0.000425,0.011657,-0.002980,0.004688,-0.012359,0.143002,0
267,3832893689,0.999893,0.002478,0.013675,-0.004592,0.014770,0.001205,0.158643,0
268,3832910356,0.999945,0.000279,0.010280,-0.002125,0.016971,0.007114,0.168815,0
269,3832927023,0.999956,-0.002672,0.008941,0.000565,0.002886,-0.000067,0.171766,0
