sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,2.1.0
AppVersion:,2021.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Inertial data Mode - High Fidelity
StartTime: ,2022-03-25_11:11:52_726 EDT
© Xsens Technologies B. V. 2005-2021

PacketCounter,SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Status
246,3591523411,0.999677,0.025306,0.001189,0.002079,-0.009303,-0.129861,0.130711,0
247,3591540078,0.999507,0.031105,-0.001819,0.003860,-0.005119,-0.125830,0.127239,0
248,3591556745,0.999400,0.034188,-0.003357,0.004347,0.001752,-0.120004,0.110742,0
249,3591573412,0.999407,0.034160,-0.002287,0.003589,0.007227,-0.110209,0.099517,0
250,3591590079,0.999507,0.031308,0.000544,0.002366,0.007120,-0.094514,0.103097,0
251,3591606746,0.999586,0.028579,0.002799,0.001676,0.001490,-0.082103,0.124892,0
252,3591623413,0.999592,0.028341,0.002862,0.002001,-0.003439,-0.071067,0.145534,0
253,3591640080,0.999590,0.028482,0.001463,0.002713,-0.006758,-0.065326,0.155383,0
254,3591656747,0.999630,0.027068,0.000210,0.002590,-0.005117,-0.064777,0.159064,0
255,3591673414,0.999633,0.026992,-0.000608,0.002189,-0.005583,-0.057199,0.157567,0
256,3591690081,0.999689,0.024877,-0.001155,0.001290,-0.006263,-0.047302,0.156479,0
257,3591706748,0.999755,0.022052,-0.001772,0.000634,-0.003295,-0.026640,0.159521,0
258,3591723415,0.999802,0.019848,-0.001575,0.000122,-0.005657,-0.021784,0.156983,0
259,3591740082,0.999863,0.016527,-0.000844,0.000210,-0.003623,-0.016482,0.158230,0
260,3591756749,0.999878,0.015619,-0.000555,0.000450,-0.001926,-0.016623,0.169387,0
261,3591773416,0.999849,0.017286,-0.001075,0.001012,-0.004177,-0.013599,0.166689,0
262,3591790083,0.999841,0.017726,-0.001578,0.000906,0.000594,-0.005952,0.162803,0
263,3591806750,0.999853,0.017004,-0.001738,0.001411,0.001255,0.009105,0.155012,0
264,3591823417,0.999914,0.012948,-0.001451,0.001721,0.004427,0.019675,0.148503,0
265,3591840084,0.999960,0.008819,-0.000942,0.001035,0.003690,0.021771,0.149583,0
266,3591856751,0.999991,0.004279,-0.000271,0.000182,0.002541,0.025628,0.152294,0
267,3591873418,1.000000,-0.000012,0.000216,-0.000467,0.001076,0.022055,0.155006,0
268,3591890085,0.999997,-0.002325,0.000483,-0.000721,-0.000797,0.019632,0.160164,0
269,3591906752,0.999996,-0.002428,0.001085,-0.000063,-0.001510,0.017709,0.159575,0
270,3591923419,0.999996,-0.002564,0.001369,0.000072,0.000443,0.007424,0.161735,0
271,3591940086,0.999997,-0.001771,0.001866,-0.000311,-0.000883,0.005682,0.163605,0
272,3591956753,0.999996,-0.001596,0.002090,-0.000564,-0.004826,0.010937,0.169119,0
273,3591973420,0.999997,-0.001809,0.001602,-0.000113,-0.007441,0.012875,0.175211,0
274,3591990087,0.999998,-0.002123,0.000244,0.000223,-0.007069,0.012886,0.179409,0
275,3592006754,0.999996,-0.002263,-0.001471,0.000627,-0.006592,0.012160,0.176358,0
276,3592023421,0.999995,-0.001623,-0.002305,0.001073,-0.004084,0.007830,0.168916,0
277,3592040088,0.999997,-0.000814,-0.001828,0.001198,-0.001260,0.003547,0.156522,0
278,3592056755,0.999999,-0.000760,-0.000673,0.000598,0.001991,-0.003788,0.150046,0
279,3592073422,0.999999,-0.000715,0.000519,-0.001028,0.003236,-0.005316,0.153365,0
280,3592090089,0.999997,-0.000496,0.000910,-0.001985,0.000913,0.007116,0.159852,0
